,Baseline,Baseline,Prophet,Prophet,Prophet + XGBoost,Prophet + XGBoost,Prophet + SVR,Prophet + SVR,Prophet + ExtraTreesRegressor,Prophet + ExtraTreesRegressor,Prophet + KNeighborsRegressor,Prophet + KNeighborsRegressor,SARIMAX I,SARIMAX I,SARIMAX II,SARIMAX II,SARIMAX III,SARIMAX III,SARIMAX IV,SARIMAX IV,SARIMAX IV + XGBoost,SARIMAX IV + XGBoost,SARIMAX IV + SVR,SARIMAX IV + SVR,SARIMAX IV + ExtraTreesRegressor,SARIMAX IV + ExtraTreesRegressor,SARIMAX IV + KNeighborsRegressor,SARIMAX IV + KNeighborsRegressor,Averaging,Averaging
,mae,bound_precision,mae,bound_precision,mae,bound,mae,bound,mae,bound,mae,bound,mae,bound_precision,mae,bound_precision,mae,bound_precision,mae,bound_precision,mae,bound,mae,bound,mae,bound,mae,bound,mae,bound
1999,785.34100877193,0.6,720.2185010076956,0.8,564.4131763454568,0.8,560.3620953084337,0.8,569.2617913684481,0.8,584.775157730524,0.8,1112.0779199143503,0.4,1236.2832687942953,0.2,1166.4463180325101,0.2,1390.0993860581948,0.8,1257.1585361217951,0.4,1174.5751333015353,0.8,1211.8458973565334,0.6,1224.6480121474601,0.6,628.1720742865999,0.8
2000,841.4966431339972,0.8,538.3933161650724,0.8,388.03045245843805,0.8,362.055639543277,1.0,432.8488248917543,0.8,424.61567506358284,1.0,668.8782942858297,0.8,603.2284947563484,0.8,769.5696640719792,0.8,1023.1147675270064,0.6,1021.1601165719096,1.0,1116.7210678568642,0.8,1103.1491768684693,0.6,1105.2289944769523,0.8,577.5328601078095,1.0
2001,971.0109727164888,0.6,730.2755297430738,1.0,521.1765138409073,1.0,454.8318947172776,0.8,469.7128799875457,1.0,526.7953310029013,1.0,987.6960457797965,1.0,1080.461134308886,0.8,1458.0763387289926,0.8,1001.3827163227112,0.8,837.5991174037582,0.6,805.5327737490985,0.8,829.9893534312723,0.8,819.7640932363607,0.6,550.0580930931734,0.8
2002,1120.4177559912855,0.4,712.523996800195,0.4,509.3097456728717,0.6,481.72618502690887,0.6,488.16561463137083,0.4,524.2435881967807,0.4,823.6448415268062,0.4,867.0317414903311,0.4,942.1869957677568,0.4,1233.3398972732793,0.4,1043.4189454885548,0.6,1014.9853458877437,0.6,1009.2613072825142,0.4,1036.135159843398,0.6,651.3397002206755,0.6
2003,1576.4178240740725,0.6,938.6191160557561,0.6,837.1729550331269,0.4,795.1897462712037,0.6,824.4536371904526,0.4,813.1782242600442,0.6,867.6422717137548,0.2,919.1262324615552,0.2,963.8152419983176,0.2,661.8148294164217,0.4,547.8422121581501,0.4,469.1020692997831,0.4,583.4263827447535,0.4,583.795998390402,0.4,458.802039312925,0.4
2004,1447.3944376361624,0.6,605.5866151024951,0.8,635.9932949903817,0.8,611.7349436558218,0.8,649.9823112662882,0.8,621.8059629422987,0.8,712.1227559533478,0.6,737.0920504290477,0.6,3413.988220541282,0.6,520.8556165400383,0.8,555.8146446178571,0.8,557.8181756801151,0.8,535.6065503365132,0.8,557.3030433194107,0.6,572.9053625155374,0.8
2005,1137.3077179715308,0.2,982.0403876503732,0.2,768.4836509808282,0.2,751.0813536830856,0.2,723.3831666522443,0.2,737.3335137641016,0.2,1080.1635839144617,0.4,880.1120508446793,0.2,1318.5354496176305,0.2,998.3661495479564,0.2,744.6280093442801,0.4,715.5513024800994,0.2,731.6719043622078,0.4,731.3707541380469,0.2,725.7467609052497,0.2
2006,1502.9609937050345,0.8,1038.8649887417987,1.0,894.6265312694214,1.0,934.5637438952446,1.0,942.230577817159,1.0,957.1007807192108,1.0,872.4690063974956,1.0,963.1593291448256,1.0,996.0596415931128,1.0,546.1896987659643,1.0,418.94521903896566,1.0,427.989602523108,1.0,436.96030577162315,1.0,463.0765447941528,1.0,536.7273302226888,1.0
2007,2523.4353780864226,0.6,660.9264171077666,0.8,518.663409242229,0.8,519.7149023542479,0.8,504.2659118307195,0.8,563.7475457593035,0.8,1086.7754306685208,0.6,972.3174528708804,0.6,1610.6755622585067,0.6,783.9937681430215,0.8,519.8189233275797,0.8,499.7483100134584,0.8,585.984282557156,0.6,563.323626814486,0.8,481.2446099486162,0.8
2008,2433.310030864197,0.8,606.0428289912937,0.6,477.39679542031655,0.6,457.263539969576,0.6,509.4167626071667,0.6,490.3840886831038,0.6,957.3431458403819,0.4,1010.8075469084399,0.4,1128.3843988868664,0.4,621.7444149751246,0.6,469.7356047935814,0.6,414.1739274350104,0.6,521.6201602232534,0.6,532.5656974659494,0.6,380.1256041822951,0.6
